Date,City,Product_Category,Product,Quantity,Product_Price
20-02-2026,Mumbai,Ghee,Buffalo Ghee,32,500
10-02-2026,Delhi NCR,Ghee,Cultured Cow Ghee,40,500
25-01-2026,Mumbai,Ghee,Buffalo Ghee,65,500
14-01-2026,Pune,Ghee,Buffalo Ghee,72,500
22-01-2026,Delhi NCR,Nutrition Rich Milk,A2 Cow Milk,14,55
27-01-2026,Mumbai,High Protein Milk,Matcha,77,125
06-01-2026,Hyderabad,High Protein Milk,Chickoo Milk,19,120
01-01-2026,Hyderabad,High Protein Milk,Matcha,106,125
02-03-2026,Hyderabad,Nutrition Rich Milk,A2 Cow Milk,106,55
26-02-2026,Pune,Ghee,Buffalo Ghee,55,500
24-02-2026,Hyderabad,Nutrition Rich Milk,Raw Cow Milk,103,50
27-02-2026,Delhi NCR,Ghee,Buffalo Ghee,26,500
10-01-2026,Hyderabad,High Protein Milk,Kesar Elaichi,108,100
15-02-2026,Jaipur,Dairy Products,Kharwas,5,75
22-02-2026,Delhi NCR,Dairy Products,Dahi,51,45
30-01-2026,Delhi NCR,Dairy Products,Door Bag,76,250
06-01-2026,Pune,Dairy Products,Cow Milk Paneer,13,100
01-03-2026,Jaipur,Dairy Products,Cow Milk Paneer,36,100
10-02-2026,Pune,Dairy Products,A2 Gir Cow Paneer,50,195
27-01-2026,Delhi NCR,Ghee,Buffalo Ghee,75,500
12-02-2026,Pune,Nutrition Rich Milk,Pasteurized Buffalo Milk,10,55
04-02-2026,Pune,Nutrition Rich Milk,A2 Cow Milk,49,55
18-02-2026,Delhi NCR,High Protein Milk,Kesar Elaichi,62,100
14-02-2026,Hyderabad,High Protein Milk,Coffee,94,90
18-02-2026,Mumbai,High Protein Milk,Matcha,117,125
27-01-2026,Mumbai,Ghee,Buffalo Ghee,49,500
19-01-2026,Hyderabad,Ghee,A2 Gir Cow Ghee,28,1000
01-01-2026,Delhi NCR,Nutrition Rich Milk,Homogenised Cow Milk,62,50
12-01-2026,Hyderabad,Ghee,Cultured Cow Ghee,91,500
14-01-2026,Hyderabad,High Protein Milk,Kesar Elaichi,22,100
18-02-2026,Mumbai,Dairy Products,Kharwas,51,75
25-01-2026,Mumbai,Ghee,A2 Gir Cow Ghee,59,1000
01-02-2026,Pune,Dairy Products,Door Bag,83,250
10-01-2026,Delhi NCR,Ghee,Cultured Cow Ghee,64,500
05-01-2026,Mumbai,Dairy Products,Dahi,31,45
06-01-2026,Jaipur,Dairy Products,A2 Gir Cow Paneer,8,195
29-01-2026,Pune,Ghee,Cultured Cow Ghee,22,500
30-01-2026,Delhi NCR,Ghee,Cultured Cow Ghee,112,500
14-02-2026,Pune,Ghee,A2 Gir Cow Ghee,79,1000
07-01-2026,Hyderabad,High Protein Milk,Cacao Milk,36,120
05-01-2026,Jaipur,High Protein Milk,Cacao Milk,68,120
26-01-2026,Jaipur,Dairy Products,Chocolate Milk,33,90
07-02-2026,Hyderabad,Nutrition Rich Milk,Raw Cow Milk,48,50
19-02-2026,Delhi NCR,Nutrition Rich Milk,Homogenised A2 Cow Milk,79,55
21-02-2026,Hyderabad,Ghee,A2 Gir Cow Ghee,41,1000
25-02-2026,Jaipur,Ghee,Cultured Cow Ghee,50,500
10-02-2026,Pune,High Protein Milk,Mango Milk,97,130
31-01-2026,Mumbai,High Protein Milk,Coffee,71,90
01-01-2026,Delhi NCR,Dairy Products,A2 Gir Cow Paneer,45,195
08-01-2026,Jaipur,Ghee,Cultured Cow Ghee,92,500
08-01-2026,Pune,Nutrition Rich Milk,Homogenised A2 Cow Milk,56,55
31-01-2026,Hyderabad,Dairy Products,Kharwas,89,75
24-01-2026,Hyderabad,Nutrition Rich Milk,Homogenised A2 Cow Milk,9,55
18-02-2026,Delhi NCR,Dairy Products,Kharwas,93,75
17-01-2026,Mumbai,Ghee,A2 Gir Cow Ghee,37,1000
11-01-2026,Hyderabad,High Protein Milk,Coffee,67,90
08-02-2026,Hyderabad,Dairy Products,Chocolate Milk,91,90
08-02-2026,Hyderabad,High Protein Milk,Milk 250 ML Pouch,75,75
01-02-2026,Jaipur,Dairy Products,A2 Gir Cow Paneer,18,195
12-01-2026,Pune,Nutrition Rich Milk,Raw Cow Milk,116,50
17-01-2026,Pune,Dairy Products,Dahi,15,45
05-01-2026,Hyderabad,Nutrition Rich Milk,A2 Cow Milk,43,55
05-02-2026,Jaipur,High Protein Milk,Milk 0.5L,65,120
25-02-2026,Delhi NCR,High Protein Milk,Cacao Milk,107,120
01-01-2026,Pune,Nutrition Rich Milk,Pasteurized Buffalo Milk,45,55
26-01-2026,Hyderabad,Nutrition Rich Milk,Pasteurized Buffalo Milk,63,55
01-02-2026,Hyderabad,Ghee,A2 Gir Cow Ghee,106,1000
04-01-2026,Jaipur,Nutrition Rich Milk,Homogenised Cow Milk,11,50
01-01-2026,Jaipur,Ghee,Buffalo Ghee,73,500
01-02-2026,Delhi NCR,Nutrition Rich Milk,Raw Cow Milk,82,50
16-02-2026,Delhi NCR,Dairy Products,Cow Milk Paneer,45,100
17-01-2026,Mumbai,High Protein Milk,Milk 250 ML Pouch,108,75
10-02-2026,Hyderabad,Ghee,Buffalo Ghee,36,500
26-01-2026,Pune,High Protein Milk,Cacao Milk,30,120
15-02-2026,Pune,Ghee,Cultured Cow Ghee,101,500
14-02-2026,Mumbai,Nutrition Rich Milk,Lactose Free Milk,108,75
08-02-2026,Pune,Nutrition Rich Milk,Pasteurized Buffalo Milk,57,55
12-01-2026,Hyderabad,High Protein Milk,Chickoo Milk,6,120
25-01-2026,Jaipur,Ghee,Cultured Cow Ghee,109,500
14-02-2026,Pune,Ghee,Cultured Cow Ghee,27,500
18-02-2026,Pune,Dairy Products,Chocolate Milk,113,90
02-01-2026,Pune,Ghee,Cultured Cow Ghee,83,500
24-02-2026,Delhi NCR,Nutrition Rich Milk,Pasteurized Buffalo Milk,71,55
23-02-2026,Delhi NCR,Dairy Products,Door Bag,40,250
13-02-2026,Delhi NCR,Dairy Products,Chocolate Milk,62,90
23-01-2026,Hyderabad,Dairy Products,Chocolate Milk,118,90
01-03-2026,Delhi NCR,Dairy Products,A2 Gir Cow Paneer,21,195
28-02-2026,Mumbai,Ghee,Cultured Cow Ghee,117,500
09-01-2026,Mumbai,High Protein Milk,Milk 0.5L,27,120
28-02-2026,Mumbai,Ghee,Cultured Cow Ghee,86,500
04-01-2026,Pune,High Protein Milk,Milk 250 ML Pouch,8,75
06-02-2026,Pune,Dairy Products,Cow Milk Paneer,77,100
29-01-2026,Delhi NCR,Nutrition Rich Milk,A2 Cow Milk,25,55
08-02-2026,Jaipur,High Protein Milk,Milk 0.5L,92,120
01-01-2026,Hyderabad,Nutrition Rich Milk,Lactose Free Milk,102,75
01-01-2026,Pune,Dairy Products,Door Bag,29,250
15-02-2026,Pune,Dairy Products,Cow Milk Paneer,44,100
02-03-2026,Jaipur,High Protein Milk,Cacao Milk,62,120
23-01-2026,Delhi NCR,High Protein Milk,Matcha,50,125
14-02-2026,Pune,Nutrition Rich Milk,Lactose Free Milk,50,75
23-02-2026,Mumbai,Dairy Products,Door Bag,107,250
29-01-2026,Delhi NCR,High Protein Milk,Chickoo Milk,47,120
12-02-2026,Hyderabad,Nutrition Rich Milk,Raw Cow Milk,28,50
28-01-2026,Mumbai,Dairy Products,Dahi,90,45
15-02-2026,Pune,Ghee,Cultured Cow Ghee,116,500
15-02-2026,Jaipur,Nutrition Rich Milk,Pasteurized Buffalo Milk,6,55
02-01-2026,Jaipur,High Protein Milk,Milk,42,75
13-02-2026,Hyderabad,Nutrition Rich Milk,Pasteurized Buffalo Milk,62,55
23-01-2026,Delhi NCR,High Protein Milk,Milk 250 ML Pouch,81,75
08-02-2026,Delhi NCR,Nutrition Rich Milk,Lactose Free Milk,112,75
11-01-2026,Jaipur,Dairy Products,Door Bag,96,250
13-02-2026,Jaipur,High Protein Milk,Kesar Elaichi,64,100
08-02-2026,Delhi NCR,Ghee,A2 Gir Cow Ghee,89,1000
18-02-2026,Delhi NCR,Dairy Products,Cow Milk Paneer,51,100
14-01-2026,Hyderabad,Nutrition Rich Milk,Homogenised Cow Milk,84,50
03-01-2026,Hyderabad,Dairy Products,Kharwas,75,75
19-01-2026,Pune,High Protein Milk,Kesar Elaichi,72,100
09-01-2026,Pune,Ghee,A2 Gir Cow Ghee,77,1000
10-01-2026,Hyderabad,Nutrition Rich Milk,A2 Cow Milk,7,55
04-01-2026,Mumbai,Nutrition Rich Milk,Lactose Free Milk,104,75
23-01-2026,Delhi NCR,Ghee,A2 Gir Cow Ghee,37,1000
25-01-2026,Delhi NCR,Ghee,Buffalo Ghee,73,500
19-01-2026,Jaipur,Dairy Products,Kharwas,20,75
05-02-2026,Jaipur,High Protein Milk,Cacao Milk,105,120
11-02-2026,Delhi NCR,Dairy Products,A2 Gir Cow Paneer,106,195
28-01-2026,Hyderabad,Dairy Products,Door Bag,62,250
29-01-2026,Delhi NCR,Dairy Products,Dahi,90,45
12-01-2026,Mumbai,Dairy Products,Dahi,22,45
19-02-2026,Jaipur,Ghee,Cultured Cow Ghee,26,500
25-02-2026,Jaipur,Dairy Products,Dahi,22,45
20-02-2026,Mumbai,High Protein Milk,Milk,103,75
16-02-2026,Pune,Ghee,Cultured Cow Ghee,50,500
02-03-2026,Pune,Dairy Products,A2 Gir Cow Paneer,31,195
07-01-2026,Jaipur,Dairy Products,Chocolate Milk,26,90
09-01-2026,Pune,Dairy Products,Kharwas,116,75
20-01-2026,Hyderabad,Dairy Products,Door Bag,100,250
08-02-2026,Mumbai,Nutrition Rich Milk,A2 Cow Milk,55,55
03-02-2026,Pune,Nutrition Rich Milk,Lactose Free Milk,16,75
15-01-2026,Jaipur,Dairy Products,A2 Gir Cow Paneer,32,195
02-01-2026,Mumbai,High Protein Milk,Kesar Elaichi,117,100
30-01-2026,Pune,Ghee,Cultured Cow Ghee,118,500
25-02-2026,Jaipur,High Protein Milk,Chickoo Milk,26,120
30-01-2026,Pune,High Protein Milk,Kesar Elaichi,76,100
22-01-2026,Hyderabad,Nutrition Rich Milk,Raw Cow Milk,20,50
09-01-2026,Jaipur,Ghee,Buffalo Ghee,76,500
14-01-2026,Pune,Nutrition Rich Milk,Homogenised A2 Cow Milk,21,55
28-01-2026,Jaipur,High Protein Milk,Matcha,54,125
02-01-2026,Jaipur,Ghee,A2 Gir Cow Ghee,57,1000
02-03-2026,Delhi NCR,Dairy Products,Cow Milk Paneer,8,100
20-01-2026,Delhi NCR,Dairy Products,Kharwas,51,75
14-02-2026,Pune,Nutrition Rich Milk,Homogenised A2 Cow Milk,78,55
13-01-2026,Hyderabad,Dairy Products,A2 Gir Cow Paneer,28,195
10-01-2026,Hyderabad,Ghee,Buffalo Ghee,97,500
17-02-2026,Jaipur,Nutrition Rich Milk,Pasteurized Buffalo Milk,22,55
03-01-2026,Pune,Nutrition Rich Milk,Homogenised A2 Cow Milk,56,55
10-01-2026,Delhi NCR,High Protein Milk,Matcha,77,125
01-03-2026,Mumbai,Dairy Products,Cow Milk Paneer,100,100
28-02-2026,Pune,Dairy Products,Dahi,79,45
28-01-2026,Mumbai,Dairy Products,Dahi,45,45
03-02-2026,Pune,Nutrition Rich Milk,Homogenised Cow Milk,23,50
07-01-2026,Pune,Dairy Products,Chocolate Milk,64,90
15-01-2026,Jaipur,Dairy Products,Kharwas,85,75
24-01-2026,Hyderabad,Ghee,Buffalo Ghee,117,500
06-02-2026,Hyderabad,Ghee,Buffalo Ghee,84,500
07-01-2026,Jaipur,Nutrition Rich Milk,Raw Cow Milk,8,50
09-01-2026,Jaipur,Ghee,Buffalo Ghee,44,500
22-02-2026,Pune,Ghee,A2 Gir Cow Ghee,50,1000
24-02-2026,Pune,Dairy Products,Door Bag,89,250
14-01-2026,Hyderabad,High Protein Milk,Coffee,17,90
26-01-2026,Delhi NCR,High Protein Milk,Cacao Milk,91,120
11-02-2026,Delhi NCR,Nutrition Rich Milk,Homogenised A2 Cow Milk,101,55
15-01-2026,Mumbai,High Protein Milk,Milk 250 ML Pouch,21,75
07-01-2026,Mumbai,Nutrition Rich Milk,Homogenised A2 Cow Milk,54,55
08-02-2026,Hyderabad,Nutrition Rich Milk,Homogenised A2 Cow Milk,15,55
15-02-2026,Mumbai,Ghee,A2 Gir Cow Ghee,70,1000
31-01-2026,Jaipur,Ghee,Cultured Cow Ghee,31,500
02-02-2026,Hyderabad,Dairy Products,Chocolate Milk,55,90
03-01-2026,Delhi NCR,Nutrition Rich Milk,Homogenised A2 Cow Milk,49,55
20-01-2026,Mumbai,High Protein Milk,Milk 0.5L,70,120
05-02-2026,Pune,High Protein Milk,Chickoo Milk,36,120
15-02-2026,Hyderabad,High Protein Milk,Chickoo Milk,108,120
09-02-2026,Jaipur,High Protein Milk,Milk 0.5L,98,120
26-01-2026,Jaipur,Ghee,Cultured Cow Ghee,34,500
09-02-2026,Jaipur,High Protein Milk,Chickoo Milk,21,120
01-03-2026,Hyderabad,Ghee,Buffalo Ghee,58,500
07-01-2026,Pune,Nutrition Rich Milk,Homogenised Cow Milk,90,50
17-01-2026,Hyderabad,Dairy Products,Chocolate Milk,13,90
11-02-2026,Delhi NCR,Nutrition Rich Milk,Pasteurized Buffalo Milk,60,55
28-01-2026,Pune,High Protein Milk,Milk 250 ML Pouch,51,75
26-02-2026,Hyderabad,Nutrition Rich Milk,A2 Cow Milk,83,55
05-02-2026,Delhi NCR,Dairy Products,Door Bag,108,250
22-01-2026,Delhi NCR,Dairy Products,Dahi,108,45
17-01-2026,Jaipur,Dairy Products,Door Bag,95,250
13-01-2026,Delhi NCR,Dairy Products,Kharwas,112,75
25-02-2026,Pune,Nutrition Rich Milk,Homogenised A2 Cow Milk,70,55
12-02-2026,Delhi NCR,Ghee,Buffalo Ghee,36,500
09-01-2026,Jaipur,Dairy Products,Dahi,87,45
27-01-2026,Pune,Ghee,A2 Gir Cow Ghee,72,1000
25-01-2026,Jaipur,Ghee,A2 Gir Cow Ghee,22,1000
04-02-2026,Jaipur,Dairy Products,Door Bag,25,250
04-02-2026,Jaipur,Nutrition Rich Milk,Lactose Free Milk,26,75
21-02-2026,Jaipur,Nutrition Rich Milk,Homogenised A2 Cow Milk,116,55
16-02-2026,Pune,Nutrition Rich Milk,Pasteurized Buffalo Milk,37,55
28-01-2026,Mumbai,Dairy Products,A2 Gir Cow Paneer,19,195
30-01-2026,Mumbai,Ghee,Cultured Cow Ghee,96,500
06-01-2026,Mumbai,Dairy Products,Cow Milk Paneer,24,100
29-01-2026,Mumbai,High Protein Milk,Kesar Elaichi,66,100
26-01-2026,Hyderabad,Ghee,Cultured Cow Ghee,70,500
04-01-2026,Delhi NCR,High Protein Milk,Mango Milk,101,130
02-01-2026,Delhi NCR,Dairy Products,A2 Gir Cow Paneer,56,195
10-02-2026,Delhi NCR,Nutrition Rich Milk,Raw Cow Milk,48,50
17-01-2026,Delhi NCR,Ghee,A2 Gir Cow Ghee,32,1000
24-01-2026,Mumbai,Dairy Products,Door Bag,111,250
19-01-2026,Hyderabad,Ghee,A2 Gir Cow Ghee,8,1000
13-02-2026,Delhi NCR,Ghee,Cultured Cow Ghee,20,500
08-02-2026,Jaipur,Nutrition Rich Milk,Homogenised Cow Milk,9,50
06-01-2026,Mumbai,Dairy Products,Chocolate Milk,31,90
23-01-2026,Delhi NCR,Dairy Products,Cow Milk Paneer,118,100
21-02-2026,Pune,Nutrition Rich Milk,Homogenised A2 Cow Milk,25,55
30-01-2026,Delhi NCR,High Protein Milk,Coffee,101,90
12-02-2026,Delhi NCR,Ghee,A2 Gir Cow Ghee,118,1000
19-01-2026,Jaipur,Ghee,Buffalo Ghee,98,500
23-02-2026,Jaipur,Dairy Products,Chocolate Milk,22,90
06-02-2026,Hyderabad,High Protein Milk,Coffee,90,90
26-02-2026,Delhi NCR,Ghee,Cultured Cow Ghee,11,500
09-01-2026,Delhi NCR,Ghee,Buffalo Ghee,70,500
26-01-2026,Jaipur,Ghee,Buffalo Ghee,86,500
03-02-2026,Mumbai,High Protein Milk,Cacao Milk,79,120
10-01-2026,Jaipur,Ghee,Cultured Cow Ghee,77,500
14-02-2026,Jaipur,High Protein Milk,Matcha,32,125
06-01-2026,Hyderabad,Nutrition Rich Milk,Pasteurized Buffalo Milk,101,55
06-01-2026,Delhi NCR,Nutrition Rich Milk,Pasteurized Buffalo Milk,41,55
02-03-2026,Pune,High Protein Milk,Kesar Elaichi,105,100
16-02-2026,Mumbai,Ghee,Buffalo Ghee,100,500
08-02-2026,Jaipur,Nutrition Rich Milk,Homogenised A2 Cow Milk,78,55
01-03-2026,Delhi NCR,Ghee,A2 Gir Cow Ghee,27,1000
23-02-2026,Hyderabad,Ghee,Buffalo Ghee,94,500
18-01-2026,Hyderabad,Dairy Products,Dahi,99,45
19-02-2026,Pune,Dairy Products,Cow Milk Paneer,79,100
19-01-2026,Delhi NCR,Dairy Products,A2 Gir Cow Paneer,18,195
15-02-2026,Jaipur,High Protein Milk,Kesar Elaichi,10,100
06-01-2026,Jaipur,High Protein Milk,Milk,93,75
12-01-2026,Mumbai,Dairy Products,Dahi,17,45
15-02-2026,Pune,Nutrition Rich Milk,Homogenised Cow Milk,104,50
25-02-2026,Delhi NCR,Ghee,Buffalo Ghee,8,500
02-03-2026,Pune,Dairy Products,Kharwas,57,75
02-02-2026,Hyderabad,Nutrition Rich Milk,Lactose Free Milk,83,75
30-01-2026,Pune,High Protein Milk,Milk 250 ML Pouch,95,75
05-02-2026,Pune,Ghee,Buffalo Ghee,53,500
18-01-2026,Mumbai,Dairy Products,Cow Milk Paneer,116,100
01-01-2026,Mumbai,Ghee,A2 Gir Cow Ghee,109,1000
02-03-2026,Delhi NCR,Ghee,A2 Gir Cow Ghee,106,1000
13-01-2026,Hyderabad,High Protein Milk,Mango Milk,90,130
06-01-2026,Hyderabad,Nutrition Rich Milk,A2 Cow Milk,59,55
02-01-2026,Mumbai,Nutrition Rich Milk,A2 Cow Milk,108,55
19-02-2026,Hyderabad,Dairy Products,Door Bag,49,250
15-02-2026,Jaipur,Ghee,A2 Gir Cow Ghee,99,1000
04-01-2026,Hyderabad,Dairy Products,Door Bag,59,250
11-02-2026,Mumbai,Ghee,A2 Gir Cow Ghee,63,1000
08-02-2026,Pune,Dairy Products,Chocolate Milk,19,90
27-02-2026,Pune,Ghee,Cultured Cow Ghee,29,500
25-02-2026,Jaipur,Dairy Products,Kharwas,40,75
21-01-2026,Jaipur,High Protein Milk,Cacao Milk,80,120
19-02-2026,Pune,High Protein Milk,Milk 250 ML Pouch,43,75
09-01-2026,Delhi NCR,Nutrition Rich Milk,A2 Cow Milk,23,55
17-01-2026,Jaipur,Dairy Products,Door Bag,119,250
09-01-2026,Jaipur,Dairy Products,Chocolate Milk,89,90
14-01-2026,Jaipur,Nutrition Rich Milk,A2 Cow Milk,108,55
24-01-2026,Delhi NCR,Nutrition Rich Milk,Homogenised Cow Milk,45,50
23-02-2026,Mumbai,Ghee,Cultured Cow Ghee,41,500
05-02-2026,Jaipur,High Protein Milk,Milk 250 ML Pouch,112,75
05-01-2026,Jaipur,Nutrition Rich Milk,Homogenised Cow Milk,8,50
10-01-2026,Jaipur,Ghee,A2 Gir Cow Ghee,31,1000
17-02-2026,Mumbai,High Protein Milk,Milk 0.5L,10,120
23-01-2026,Jaipur,Ghee,A2 Gir Cow Ghee,38,1000
27-02-2026,Delhi NCR,Nutrition Rich Milk,Homogenised Cow Milk,57,50
06-01-2026,Pune,Ghee,A2 Gir Cow Ghee,106,1000
25-01-2026,Mumbai,Ghee,Cultured Cow Ghee,102,500
07-01-2026,Mumbai,Dairy Products,Dahi,47,45
20-02-2026,Hyderabad,Nutrition Rich Milk,Homogenised Cow Milk,30,50
22-02-2026,Pune,High Protein Milk,Milk,107,75
11-02-2026,Mumbai,Nutrition Rich Milk,Lactose Free Milk,69,75
11-02-2026,Jaipur,Ghee,Buffalo Ghee,63,500
24-01-2026,Delhi NCR,Nutrition Rich Milk,Homogenised A2 Cow Milk,41,55
27-02-2026,Pune,Dairy Products,Dahi,13,45
01-01-2026,Mumbai,Dairy Products,Chocolate Milk,89,90
02-01-2026,Jaipur,Dairy Products,Kharwas,55,75
16-02-2026,Jaipur,Nutrition Rich Milk,Pasteurized Buffalo Milk,54,55
16-01-2026,Delhi NCR,Nutrition Rich Milk,Homogenised A2 Cow Milk,49,55
25-02-2026,Delhi NCR,Dairy Products,Chocolate Milk,59,90
13-01-2026,Delhi NCR,High Protein Milk,Milk 0.5L,34,120
04-02-2026,Delhi NCR,Nutrition Rich Milk,A2 Cow Milk,90,55
14-01-2026,Jaipur,Dairy Products,A2 Gir Cow Paneer,6,195
25-02-2026,Pune,High Protein Milk,Kesar Elaichi,107,100
28-01-2026,Mumbai,Dairy Products,Chocolate Milk,77,90
09-02-2026,Pune,Dairy Products,A2 Gir Cow Paneer,45,195
17-01-2026,Delhi NCR,Nutrition Rich Milk,A2 Cow Milk,41,55
20-01-2026,Hyderabad,Dairy Products,Cow Milk Paneer,104,100
13-02-2026,Hyderabad,Dairy Products,Dahi,21,45
10-01-2026,Hyderabad,High Protein Milk,Milk 250 ML Pouch,9,75
27-01-2026,Pune,Dairy Products,Cow Milk Paneer,83,100
